Date,AAPL,GOOG,MSFT,AMZN
07-09-2021,156.690002,2897.669922,300.209991,3525.5
08-09-2021,155.110001,2898.27002,297.25,3484.159912
09-09-2021,154.070007,2838.419922,295.709991,3469.149902
10-09-2021,148.970001,2869.300049,296.98999,3457.169922
13-09-2021,149.550003,2868.120117,299.790009,3450
14-09-2021,148.119995,2904.120117,304.820007,3475.790039
15-09-2021,149.029999,2887.469971,305.220001,3488.23999
16-09-2021,148.789993,2829.27002,299.869995,3462.52002
17-09-2021,146.059998,2780.340088,294.299988,3355.72998
20-09-2021,142.940002,2792.929932,294.799988,3343.629883
21-09-2021,143.429993,2818.77002,298.579987,3380.050049
22-09-2021,145.850006,2836.530029,299.559998,3416
23-09-2021,146.830002,2852.659912,299.350006,3425.52002
24-09-2021,146.919998,2830.02002,294.170013,3405.800049
27-09-2021,145.369995,2723.679932,283.519989,3315.959961
28-09-2021,141.910004,2690.419922,284,3301.120117
29-09-2021,142.830002,2665.310059,281.920013,3285.040039
30-09-2021,141.5,2729.25,289.100006,3283.26001
01-10-2021,142.649994,2675.300049,283.109985,3189.780029
04-10-2021,139.139999,2723.540039,288.76001,3221
05-10-2021,141.110001,2747.080078,293.109985,3262.01001
06-10-2021,142,2783.709961,294.850006,3302.429932
07-10-2021,143.289993,2801.120117,294.850006,3288.620117
08-10-2021,142.899994,2776.949951,294.230011,3246.300049
11-10-2021,142.809998,2734.26001,292.880005,3247.330078
12-10-2021,141.509995,2758,296.309998,3284.280029
13-10-2021,140.910004,2828.23999,302.75,3299.860107
14-10-2021,143.759995,2833.5,304.209991,3409.02002
15-10-2021,144.839996,2859.209961,307.290009,3446.73999
18-10-2021,146.550003,2876.439941,308.230011,3444.149902
19-10-2021,148.759995,2848.300049,307.410004,3415.060059
20-10-2021,149.259995,2855.610107,310.76001,3435.01001
21-10-2021,149.479996,2772.5,309.160004,3335.550049
22-10-2021,148.690002,2775.459961,308.130005,3320.370117
25-10-2021,148.639999,2793.439941,310.109985,3376.070068
26-10-2021,149.320007,2928.550049,323.170013,3392.48999
27-10-2021,148.850006,2922.580078,324.350006,3446.570068
28-10-2021,152.570007,2956.300049,328.704987,3347.413086
29-10-2021,148.985001,,,
